~~191|	|2524|	||	|2|	|1|	|3
~~192|	|3099|	||	|2|	|1|	|3
~~193|	|2540|	||	|2|	|1|	|3
~~194|	|3290|	|\\prtprdden001\DEN001PR129|	|2|	|1|	|3
~~195|	|3091|	||	|2|	|1|	|3
~~196|	|2311|	|\\PRINTD01\DEHP3035M07|	|2|	|1|	|3
~~197|	|375|	|\\utilprdsar001\SAR001PR041|	|1|	|1|	|3
~~198|	|4328|	|\\utilprdsar001\SAR001PR041|	|1|	|1|	|3
~~199|	|4188|	||	|1|	|1|	|3
~~200|	|4233|	||	|1|	|1|	|3
~~201|	|503|	||	|1|	|1|	|3
~~202|	|279|	|\\utilprdsar001\SAR001PR041|	|1|	|1|	|3
~~203|	|4808|	||	|2|	|1|	|3
~~204|	|504|	||	|1|	|1|	|3
~~205|	|3283|	||	|2|	|1|	|3
~~206|	|4352|	||	|1|	|1|	|3
~~207|	|4205|	||	|1|	|1|	|3
~~208|	|4688|	|\\PRINT006\FBHP9050M16|	|1|	|1|	|3
~~209|	|3287|	||	|2|	|0|	|3
~~210|	|3284|	||	|2|	|1|	|3
~~211|	|4350|	|\\PRINT006\FBHP3035M10|	|1|	|1|	|3
~~212|	|4693|	|\\print006\FBHP3035M06|	|1|	|1|	|3
~~213|	|4349|	||	|1|	|1|	|3
~~214|	|4745|	||	|1|	|1|	|3
~~215|	|2269|	|\\printd01\DEHPM5035M19|	|1|	|1|	|3
~~216|	|4852|	|\\PRINT006\FBHP3035M07|	|1|	|1|	|3
~~217|	|4952|	|\\br-mck-p1-n1\PRINT34|	|1|	|1|	|3
~~218|	|4987|	|\\br-mck-p1-n1\PRINT2|	|1|	|1|	|3
~~219|	|4991|	|\\br-mck-p1-n1\PRINT2|	|1|	|1|	|3
~~220|	|2538|	||	|2|	|1|	|3
~~221|	|2575|	||	|1|	|1|	|3
~~222|	|2229|	|\\PRINT201\SAHP3035M06|	|1|	|1|	|3
~~223|	|2471|	|\\prtprdden001\DEN001PR069|	|2|	|1|	|3
~~224|	|3087|	||	|2|	|1|	|3
~~225|	|4962|	|\\br-mck-p1-n1\PRINT29|	|1|	|1|	|3
~~226|	|5054|	||	|1|	|1|	|3
~~227|	|2508|	||	|1|	|1|	|3
~~228|	|3096|	||	|2|	|1|	|3
~~229|	|2470|	||	|1|	|1|	|3
~~230|	|2547|	|\\prtprdden001\DEN001PR070|	|2|	|1|	|3
~~231|	|4564|	||	|1|	|1|	|3
~~232|	|3768|	|\\utilprdsar001\SAR001PR010|	|1|	|1|	|3
~~233|	|3275|	|\\PRINTD01\DEHPM5035M07|	|1|	|1|	|3
~~234|	|2495|	||	|1|	|1|	|3
~~235|	|4063|	|\\utilprdsar001\SAR001PR041|	|1|	|1|	|3
~~236|	|5295|	|\\print006\FMHP3035M64|	|1|	|1|	|3
~~237|	|2503|	|\\PRTPRDDEN001\DEN001PR013|	|2|	|0|	|3
~~238|	|5574|	||	|2|	|1|	|3
~~239|	|5578|	|\\PRINT006\FMHP5035M52|	|1|	|1|	|3
~~240|	|3098|	||	|2|	|1|	|3
~~241|	|5589|	||	|1|	|1|	|3
~~242|	|447|	|\\utilprdsar001\SAR001PR010|	|1|	|1|	|3
~~243|	|284|	|\\utilprdsar001\SAR001PR010|	|1|	|1|	|3
~~244|	|372|	||	|1|	|1|	|3
~~245|	|5324|	||	|1|	|1|	|3
~~246|	|3274|	||	|2|	|1|	|3
~~247|	|5582|	||	|1|	|1|	|3
~~248|	|5689|	|\\prtprdfmm001\FMM001PR251|	|1|	|1|	|3
~~249|	|231|	||	|1|	|1|	|3
~~250|	|5745|	||	|1|	|1|	|3
~~251|	|5733|	||	|1|	|1|	|3
~~252|	|5930|	|\\PRINT006\FMHP9050M51|	|1|	|1|	|3
~~253|	|2376|	||	|1|	|1|	|3
~~254|	|2541|	|\\prtprdden001\DEN001PR107|	|2|	|0|	|3
~~255|	|483|	||	|1|	|1|	|3
~~256|	|5801|	||	|1|	|1|	|3
~~257|	|5576|	|\\prtprdcgy001\CGY001PR032|	|1|	|1|	|3
~~258|	|6074|	|\\PRTPRDFMM001\FMM001PR351|	|2|	|1|	|3
~~259|	|5103|	|\\utilprdsar001\SAR001PR041|	|1|	|1|	|3
~~260|	|2304|	||	|2|	|1|	|3
~~261|	|5917|	||	|1|	|1|	|3
~~262|	|5988|	||	|1|	|0|	|3
~~263|	|3101|	||	|2|	|1|	|3
~~264|	|3189|	|\\UTILPRDSAR001\SAR001PR041|	|1|	|0|	|3
~~265|	|397|	|\\utilprdsar001\SAR001PR041|	|1|	|1|	|3
~~266|	|2222|	|\\utilprdsar001\SAR001PR041|	|1|	|0|	|3
~~267|	|6175|	|PDFWriter|	|1|	|1|	|3
~~268|	|2487|	|\\prtprdden001\DEN001PR107|	|2|	|0|	|3
~~269|	|5502|	||	|2|	|1|	|3
~~270|	|5170|	||	|1|	|1|	|3
~~271|	|4289|	||	|1|	|1|	|3
~~272|	|5257|	||	|1|	|1|	|3
~~273|	|3293|	||	|2|	|1|	|3
~~274|	|3052|	|\\utilprdsar001\SAR001PR066|	|1|	|1|	|3
~~275|	|361|	||	|1|	|1|	|3
~~276|	|312|	||	|1|	|1|	|3
~~277|	|255|	|\\utilprdsar001\SAR001PR022|	|1|	|1|	|3
~~278|	|4326|	|\\UTILPRDSAR001\SAR001PR092|	|1|	|1|	|3
~~279|	|4609|	||	|1|	|1|	|3
~~280|	|5698|	|\\prtprdfmm001\FMM001PR251|	|1|	|1|	|3
~~281|	|2509|	||	|2|	|1|	|3
~~282|	|264|	||	|1|	|1|	|3
~~283|	|295|	||	|1|	|1|	|3
~~284|	|305|	||	|1|	|1|	|3
~~285|	|416|	||	|1|	|1|	|3
~~286|	|408|	||	|1|	|1|	|3
~~287|	|6276|	||	|1|	|1|	|3
~~288|	|4936|	||	|1|	|1|	|3
~~289|	|5809|	|\\prtprdfmm001\FMM001PR639|	|1|	|1|	|3
~~290|	|465|	||	|1|	|1|	|3
~~291|	|6283|	||	|1|	|1|	|3
~~292|	|6238|	||	|1|	|1|	|3
~~293|	|5244|	||	|1|	|1|	|3
~~294|	|5941|	||	|1|	|1|	|3
~~295|	|282|	||	|1|	|1|	|3
~~296|	|6433|	||	|2|	|0|	|3
~~297|	|6543|	|HP LaserJet M1522 MFP Series PCL 6 (Copy 1)|	|2|	|1|	|3
~~298|	|6567|	|\\UTILPRDEDM001\EDM001PR107|	|2|	|0|	|3
~~299|	|3291|	||	|2|	|1|	|3
~~300|	|6408|	|\\edmps03\ER32|	|2|	|0|	|3
~~301|	|6703|	||	|3|	|0|	|3
~~302|	|424|	||	|2|	|1|	|3
~~303|	|4356|	|\\prtprdfmm001\FMM001PR125|	|1|	|1|	|3
~~304|	|2513|	||	|2|	|1|	|3
~~305|	|388|	||	|1|	|1|	|3
~~306|	|3130|	||	|1|	|1|	|3
~~307|	|470|	|\\utilprdsar001\SAR001PR022|	|1|	|0|	|3
~~308|	|412|	||	|1|	|1|	|3
~~309|	|5104|	||	|1|	|1|	|3
~~310|	|6278|	||	|1|	|1|	|3
~~311|	|4324|	|\\utilprdsar001\SAR001PR111|	|1|	|1|	|3
~~312|	|6656|	||	|2|	|0|	|3
~~313|	|6426|	||	|1|	|1|	|3
~~314|	|4443|	|\\utilprdsar001\SAR001PR022|	|1|	|1|	|3
~~315|	|515|	||	|1|	|1|	|3
~~316|	|6274|	|\\utilprdsar001\SAR001PR022|	|1|	|1|	|3
~~317|	|6284|	|\\utilprdsar001\SAR001PR041|	|1|	|1|	|3
~~318|	|302|	||	|1|	|1|	|3
~~319|	|2218|	||	|1|	|1|	|3
~~320|	|5106|	|\\UTILPRDSAR001\SAR001PR022|	|1|	|1|	|3
~~321|	|6840|	|\\prtprdfmm001\FMM001PR452|	|1|	|1|	|3
~~322|	|4287|	||	|1|	|1|	|3
~~323|	|5644|	||	|1|	|1|	|3
~~324|	|2301|	|\\prtprdden001\DEN001PR017|	|2|	|0|	|3
~~325|	|4618|	||	|1|	|1|	|3
~~326|	|5728|	||	|1|	|1|	|3
~~327|	|6168|	||	|1|	|1|	|3
~~328|	|6250|	|\\prtprdden001\DEN001PR070|	|1|	|1|	|3
~~329|	|6892|	||	|2|	|1|	|3
~~330|	|6132|	|HP LaserJet 4100 Series PCL (Copy 1)|	|1|	|1|	|3
~~331|	|5792|	||	|1|	|1|	|3
~~332|	|7140|	||	|2|	|1|	|3
~~333|	|7079|	|\\rmtlps1\RF114|	|2|	|1|	|3
~~334|	|7160|	||	|2|	|1|	|3
~~335|	|7162|	||	|2|	|1|	|3
~~336|	|7113|	||	|2|	|0|	|3
~~337|	|7109|	||	|2|	|1|	|3
~~338|	|5742|	||	|1|	|1|	|3
~~339|	|4463|	||	|1|	|1|	|3
~~340|	|6905|	||	|1|	|1|	|3
~~341|	|5082|	|\\PRTPRDFMM001\FMM001PR607|	|1|	|1|	|3
~~342|	|7045|	||	|2|	|1|	|3
~~343|	|7313|	||	|2|	|1|	|3
~~344|	|7318|	||	|2|	|0|	|3
~~345|	|7207|	||	|2|	|1|	|3
~~346|	|7137|	|\\RMTLPS1\RF44|	|2|	|1|	|3
~~347|	|7053|	||	|2|	|1|	|3
~~348|	|7131|	||	|2|	|1|	|3
~~349|	|7236|	|\\utilprdmtl001\MTL001PR083|	|2|	|0|	|3
~~350|	|7286|	||	|2|	|1|	|3
~~351|	|7077|	||	|2|	|1|	|3
~~352|	|7237|	||	|2|	|0|	|3
~~353|	|2326|	||	|2|	|1|	|3
~~354|	|7271|	|\\Rmtlps1\RF155|	|2|	|1|	|3
~~355|	|7111|	||	|2|	|1|	|3
~~356|	|7250|	|\\rmtlps1\RF84|	|2|	|0|	|3
~~357|	|7221|	|\\rmtlps1\RF124|	|2|	|1|	|3
~~358|	|7294|	||	|2|	|1|	|3
~~359|	|7315|	|\\rmtlps1\RF57|	|2|	|1|	|3
~~360|	|7424|	||	|2|	|1|	|3
~~361|	|7206|	||	|2|	|1|	|3
~~362|	|7056|	||	|2|	|1|	|3
~~363|	|7177|	||	|2|	|1|	|3
~~364|	|7048|	||	|2|	|0|	|3
~~365|	|7218|	|\\utilprdmtl001\MTL001PR083|	|2|	|0|	|3
~~366|	|7156|	||	|2|	|1|	|3
~~367|	|7238|	||	|2|	|0|	|3
~~368|	|7210|	||	|2|	|1|	|3
~~369|	|7324|	||	|2|	|1|	|3
~~370|	|7150|	||	|2|	|0|	|3
~~371|	|7133|	||	|2|	|1|	|3
~~372|	|6281|	|\\utilprdsar001\SAR001PR041|	|1|	|1|	|3
~~373|	|363|	||	|1|	|1|	|3
~~374|	|234|	||	|1|	|1|	|3
~~375|	|244|	|\\utilprdsar001\SAR001PR095|	|1|	|1|	|3
~~376|	|4198|	|\\prtprdfmm001\FMM001PR140|	|1|	|1|	|3
~~377|	|7231|	|\\utilprdmtl001\MTL001PR132-PS|	|2|	|1|	|3
~~378|	|7145|	||	|2|	|0|	|3
~~379|	|7200|	||	|2|	|0|	|3
~~380|	|6285|	|\\utilprdsar001\SAR001PR010|	|1|	|1|	|3
