1|	|8438
~~2059|	|125537
~~2059|	|125748
~~2059|	|125798
~~2059|	|125810
~~2059|	|126267
~~2059|	|126318
~~2060|	|124361
~~2060|	|124549
~~2060|	|124808
~~2060|	|125248
~~2060|	|125537
~~2060|	|125748
~~2060|	|125798
~~2060|	|125810
~~2060|	|126267
~~2060|	|126318
~~2061|	|114414
~~2061|	|118288
~~2061|	|118308
~~2061|	|124360
~~2062|	|121259
~~2062|	|121423
~~2062|	|121612
~~2062|	|121669
~~2062|	|121690
~~2062|	|121741
~~2062|	|122023
~~2062|	|122062
~~2062|	|122165
~~2062|	|122168
~~2062|	|122171
~~2062|	|122174
~~2062|	|122249
~~2062|	|122313
~~2062|	|122319
~~2062|	|122332
~~2062|	|122408
~~2062|	|122481
~~2062|	|122612
~~2062|	|122689
~~2062|	|122724
~~2063|	|121259
~~2063|	|121423
~~2063|	|121612
~~2063|	|121862
~~2063|	|121923
~~2063|	|121973
~~2063|	|122023
~~2063|	|122062
~~2063|	|122174
~~2063|	|122249
~~2063|	|122313
~~2063|	|122319
~~2063|	|122326
~~2063|	|122332
~~2063|	|122408
~~2063|	|122481
~~2063|	|122497
~~2063|	|122555
~~2063|	|122612
~~2063|	|122615
~~2063|	|122652
~~2063|	|122689
~~2063|	|122724
~~2064|	|118288
~~2064|	|121612
~~2064|	|121862
~~2064|	|121923
~~2064|	|121973
~~2064|	|122319
~~2065|	|118288
~~2065|	|119659
~~2065|	|121258
~~2066|	|138020
~~2067|	|138364
~~2067|	|139056
~~2068|	|138363
~~2068|	|153048
~~2069|	|146352
~~2069|	|147323
~~2069|	|155560
~~2069|	|155562
~~2070|	|135925
~~2071|	|129068
~~2071|	|132932
~~2071|	|137819
~~2071|	|137844
~~2071|	|137961
~~2071|	|137963
~~2072|	|129880
~~2072|	|132932
~~2073|	|126810
~~2073|	|126995
~~2074|	|138364
~~2074|	|139056
~~2075|	|138021
~~2075|	|153048
~~2076|	|147323
~~2077|	|126749
~~2078|	|126810
~~2078|	|126995
~~2079|	|126809
~~2079|	|132933
~~2079|	|133532
~~2079|	|133832
~~2080|	|129068
~~2080|	|129880
~~2080|	|132933
~~2080|	|133698
~~2080|	|137838
~~2080|	|137964
~~2080|	|137984
~~2081|	|118288
~~2081|	|119659
~~2081|	|121258
~~2082|	|126763
~~2082|	|132933
~~2082|	|133831
~~2082|	|134006
~~2082|	|134213
~~2082|	|137844
~~2082|	|138034
~~2082|	|150974
~~2082|	|155406
~~2083|	|126763
~~2083|	|133831
~~2083|	|134006
~~2083|	|134213
~~2084|	|134006
~~2084|	|134213
~~2084|	|137844
~~2084|	|138034
~~2086|	|143615
~~2087|	|155567
~~2088|	|138035
~~2088|	|138147
~~2088|	|138148
~~2088|	|138207
~~2088|	|138330
~~2088|	|155406
~~2089|	|138021
~~2089|	|150974
~~2090|	|138021
~~2090|	|144927
~~2090|	|145558
~~2090|	|150974
~~2091|	|138363
~~2092|	|131354
~~2092|	|132933
~~2092|	|133532
~~2093|	|157873
~~2094|	|138363
~~2094|	|153048
~~2095|	|74414
~~2095|	|74791
~~2095|	|76333
~~2095|	|77804
~~2095|	|78007
~~2095|	|78041
~~2095|	|78168
~~2095|	|78186
~~2095|	|109467
~~2096|	|75063
~~2096|	|75698
~~2096|	|77740
~~2096|	|78237
~~2096|	|78527
~~2097|	|116464
~~2097|	|117827
~~2097|	|122735
~~2098|	|126749
~~2098|	|138020
~~2099|	|113567
~~2100|	|138020
~~2101|	|138020
~~2102|	|138020
~~2103|	|138020
~~2104|	|138020
~~2105|	|134213
~~2105|	|138034
~~2105|	|150974
~~2105|	|155406
~~2106|	|134213
~~2106|	|150974
~~2106|	|155406
~~2107|	|134213
~~2107|	|150974
~~2107|	|155406
~~2108|	|134213
~~2108|	|150974
~~2108|	|155406
~~2109|	|134213
~~2109|	|150974
~~2109|	|155406
~~2110|	|134213
~~2110|	|150974
~~2110|	|155406
~~2111|	|134213
~~2111|	|150974
~~2111|	|155406
~~2112|	|134213
~~2112|	|150974
~~2112|	|155406
~~2113|	|134213
~~2113|	|150974
~~2113|	|155406
~~2114|	|134213
~~2114|	|150974
~~2114|	|155406
~~2115|	|134213
~~2115|	|150974
~~2115|	|155406
~~2116|	|138363
~~2116|	|153048
~~2117|	|138363
~~2117|	|153048
~~2118|	|138363
~~2118|	|153048
~~2119|	|138363
~~2119|	|153048
~~2120|	|138363
~~2120|	|153048
~~2121|	|138363
~~2121|	|153048
~~2122|	|138363
~~2122|	|153048
~~2123|	|138363
~~2123|	|153048
~~2124|	|138363
~~2124|	|153048
~~2125|	|138363
~~2125|	|153048
~~2126|	|138363
~~2126|	|153048
~~2127|	|138363
~~2127|	|153048
~~2128|	|138363
~~2128|	|153048
~~2129|	|138363
~~2129|	|153048
~~2130|	|138363
~~2130|	|153048
~~2131|	|138363
~~2131|	|153048
~~2132|	|138363
~~2132|	|153048
~~2133|	|138363
~~2133|	|153048
~~2134|	|138363
~~2134|	|153048
~~2135|	|138363
~~2135|	|153048
~~2136|	|138363
~~2136|	|153048
~~2137|	|138363
~~2137|	|153048
~~2138|	|138363
~~2138|	|153048
~~2139|	|138363
~~2139|	|153048
~~2140|	|138363
~~2140|	|153048
~~2141|	|138363
~~2141|	|153048
~~2142|	|138363
~~2142|	|153048
~~2143|	|138363
~~2143|	|153048
~~2144|	|138363
~~2144|	|153048
~~2145|	|138363
~~2145|	|153048
~~2146|	|143615
~~2146|	|155567
~~2147|	|143615
~~2147|	|155567
~~2148|	|143615
~~2148|	|155567
~~2149|	|143615
~~2149|	|155567
~~2150|	|143615
~~2150|	|155567
~~2151|	|143615
~~2151|	|155567
~~2152|	|143615
~~2152|	|155567
~~2153|	|143615
~~2153|	|155567
~~2154|	|146352
~~2154|	|147323
~~2155|	|146352
~~2155|	|147323
~~2156|	|146352
~~2156|	|147323
~~2157|	|146352
~~2157|	|147323
~~2158|	|146352
~~2158|	|147323
~~2159|	|146352
~~2159|	|147323
~~2160|	|146352
~~2160|	|147323
~~2161|	|146352
~~2161|	|147323
~~2162|	|146352
~~2162|	|147323
~~2163|	|146352
~~2163|	|147323
~~2164|	|146352
~~2164|	|147323
~~2165|	|138020
~~2166|	|138020
~~2167|	|138020
~~2168|	|138020
~~2169|	|138020
~~2170|	|138020
~~2224|	|17495
~~2225|	|17495
~~2226|	|7213
~~2226|	|8476
~~2226|	|8572
~~2226|	|11515
