~~2787773|	|1221591|	|D-617 Morth Pump|	|Pumped|	|9|	|2|	||	|5467|	|0
~~2787774|	|1221591|	|D-617 South Pump|	|Ok|	|10|	|2|	||	|5468|	|0
~~2787775|	|1221591|	|36" Knock Out Pot|	|Ok|	|11|	|2|	||	|5469|	|0
~~2787776|	|1221591|	|Seal Level % (1)|	||	|13|	|1|	|1.500000|	|5471|	|0
~~2787777|	|1221591|	|Pilot Gas Pressure (1)|	||	|14|	|1|	|15.000000|	|5472|	|0
~~2787778|	|1221591|	|Purge Gas Before Seal (1)|	||	|15|	|1|	|33.000000|	|5473|	|0
~~2787779|	|1221591|	|Purge Gas After Seal (1)|	||	|16|	|1|	|65.000000|	|5474|	|0
~~2787780|	|1221591|	|Flare Gas Pressure Before Seal (1)|	||	|17|	|1|	|1.500000|	|5475|	|0
~~2787781|	|1221591|	|Pilots Visual Check (1)|	|Ok|	|18|	|2|	||	|5476|	|0
~~2787782|	|1221591|	|Liquid Trap Out Pan (1)|	|Ok|	|20|	|2|	||	|5478|	|0
~~2787783|	|1221591|	|D-605 North Pump|	|Ok|	|21|	|2|	||	|5479|	|0
~~2787784|	|1221591|	|D-605 South Pump|	|Ok|	|22|	|2|	||	|5480|	|0
~~2787785|	|1221591|	|24" Knock Out Pot|	|Ok|	|23|	|2|	||	|5481|	|0
~~2787786|	|1221591|	|Seal Level %(2)|	||	|25|	|1|	|2.000000|	|5483|	|0
~~2787787|	|1221591|	|Pilot Gas Pressure (2)|	||	|26|	|1|	|18.000000|	|5484|	|0
~~2787788|	|1221591|	|Main Steam Pressure|	||	|27|	|1|	|40.000000|	|5485|	|0
~~2787789|	|1221591|	|Natural Gas Pressure|	||	|28|	|1|	|78.000000|	|5486|	|0
~~2787790|	|1221591|	|Flare Gas Pressure Before Seal (2)|	||	|29|	|1|	|1.500000|	|5487|	|0
~~2787791|	|1221591|	|Pilots Lit- list pilots by number 1-8|	||	|31|	|1|	|12345678.000000|	|5489|	|0
~~2787792|	|1221591|	|Reserve Air Bottle Pressure|	||	|33|	|1|	|1200.000000|	|5491|	|0
~~2787793|	|1221591|	|Sulphur Plant Flare Drum|	|Ok|	|34|	|2|	||	|5492|	|0
~~2787794|	|1221591|	|Seal Level % (3)|	||	|36|	|1|	|2.000000|	|5494|	|0
~~2787795|	|1221591|	|Pilot Gas Pressure (3)|	||	|37|	|1|	|17.000000|	|5495|	|0
~~2787796|	|1221591|	|Glycol Drum Level %|	||	|38|	|1|	|65.000000|	|5496|	|0
~~2787797|	|1221591|	|Liquid Level in U Loop %|	||	|39|	|1|	|80.000000|	|5497|	|0
~~2787798|	|1221591|	|Flare Gas Pressure Before Seal (3)|	||	|40|	|1|	|1.600000|	|5498|	|0
~~2787799|	|1221591|	|Check Solenoid Is Latched|	|Latched|	|41|	|2|	||	|5499|	|0
~~2787800|	|1221591|	|Methanol Added to Fuel Gas|	|No|	|46|	|2|	||	|5504|	|0
~~2787801|	|1221591|	|A Basin South Pump Discharge Pressure|	||	|54|	|1|	|55.000000|	|5512|	|0
~~2787802|	|1221591|	|Tank 752 Level|	||	|57|	|1|	|13.130000|	|5515|	|1
~~2787803|	|1221591|	|Tank 752 Flow to #4 Trap|	||	|58|	|1|	|31.333000|	|5516|	|1
~~2787826|	|1221514|	|TK 275 Lvl @ Panel, FT|	||	|0|	|1|	|2.260000|	|15099|	|0
~~2787827|	|1221514|	|TK 276 Lvl @ Panel, FT|	||	|1|	|1|	|1.500000|	|15100|	|0
~~2787828|	|1221514|	|TK 277 Lvl @ Panel, FT|	||	|2|	|1|	|3.880000|	|15101|	|0
~~2787829|	|1221514|	|TK 293 Lvl @ Panel, FT|	||	|3|	|1|	|7.220000|	|15102|	|0
~~2787830|	|1221514|	|TK 275 Lvl @ Field, FT|	||	|4|	|1|	|2.260000|	|15103|	|0
~~2787831|	|1221514|	|TK 276 Lvl @ Field, FT|	||	|5|	|1|	|1.500000|	|15104|	|0
~~2787832|	|1221514|	|TK 277 Lvl @ Field, FT|	||	|6|	|1|	|3.880000|	|15105|	|0
